name,unixtime,commitguid,commitreason
Matthew Gregan,1469582831,11ec2c0ac35e102b1098252e4b061f71e475b9ec,Merge remote-tracking branch 'upstream/master'
Matthew Gregan,1469581336,c95593c3dd39b837cd496a8830c9916abae937eb,Merge pull request #14 from leodasvacas/clippy-run
leonardo.yvens,1469580843,1252997dcb9162dddc33d87eda2f7fcf4be56606,Default impls and documentation ticks.
Matthew Gregan,1469570994,c67eeb88ed5af91c3c4df088850194deed7d379d,Cleaner version of mp4parse_get_track_info unwrapping sequence.
Ralph Giles,1468869702,1179840e3b33974164254a294754b3066f569ce5,Build and upload documentation on travis runs.
Matthew Gregan,1468499119,af73c333cc2bc0c20d567e1fb89f65a998ff52fb,Restructure mp4parse_get_track_info to avoid is_none/unwrap sequences.
Matthew Gregan,1468496028,e43f98562eedc80fe818e06133b10244cfec4bac,Merge pull request #13 from masklinn/patch-1
masklinn,1468418975,3c4eac4cd09068284602b814fab691ab94e381b3,Remove unwrap calls in description parsing.
Ralph Giles,1467236615,77d65ea9f9a10944626aaebcedd158f0b5d09be4,Fix track length overflow check.
Ralph Giles,1467061958,5e7e91e2ed55cd9a517fac98870c300962a2e9fc,Bump version for 0.4.0 release.
Ralph Giles,1466802349,b4e6993fa030195bbe2203b1c86f5bd3feee3daa,Make get_track_count fallible.
Ralph Giles,1466707251,a9f32d000184e8b476d8b7ea79338a09b3860316,Reformat struct initializers.
Ralph Giles,1466706966,c1fc71affa0dad78a4027cae5350330ada440b88,Export the track codec through the C api.
Matthew Gregan,1466634235,dd753eca999dd3bcfbc59aef476770c9eab99d2a,Merge pull request #12 from rillian/poison
Ralph Giles,1464128405,aca1e8b949f541952ee425b8fb438980099910a3,Don't poison the demuxer context on EOF.
Ralph Giles,1466431665,26b9378db1032d1021b750d0652b74c63fd2f152,Export a serialized opus header in mp4parse_get_track_audio_info.
Ralph Giles,1466431309,92900776e8f2500c6d016e4a2df6543150e3e682,Implement Default for mp4parse_track_audio_info.
Matthew Gregan,1466158387,4bb36452377a49f4ac86dc763053130d3263b940,Remove Opus header serialization debug code.
Ralph Giles,1466152190,05b8b92c18fba067daa58e1378272c67a59cc544,Write the correct version when serializing opus headers.
Ralph Giles,1466151875,44aa2044e5635d4426c5d240b5ce5a1bdbadd7dc,Use track_index consistently in the capi.
Ralph Giles,1464976661,a78a8756709fe49b2585eb1f81831f54f344f82b,Add serialization call to make an Opus header.
Ralph Giles,1464205620,ff7766057034d77ab2696175c9b80496d5db43b6,Remove Error::AssertCaught.
Ralph Giles,1464199236,0ab7f6288ba802d22122807af00e5eb72223ad4d,Remove panic-catch thread in mp4parse_read.
Ralph Giles,1458852149,33d20603b3d0f69f5f45e83e3717ff9637b6b0a3,Split compound assert.
Ralph Giles,1458752050,1e04be40843c886efac047adf7b94d79395f9ab1,Update to test-assembler 0.1.2.
Matthew Gregan,1458699149,a416567809da1daa0e4ab8c2a1d326bc6f0fa798,Update to byteorder 0.5.0.
Ralph Giles,1457734509,b0e39c4c8ac76a4749a649c087ca1e55db2881ad,Bump version for 0.3.0 release.
Ralph Giles,1457734338,00dd0ebda037a97a29d166a86238acd1fb8b0407,test.cc: find minimal.mp4 relative to the executable.
Matthew Gregan,1457582806,97615394e8416cc91a16d623151cdf2125a5c3c0,Don't allow mp4parse_parser reuse after the C API returns an error.
Matthew Gregan,1457580948,212cd002e86f751adf03f8eca283e3b3721f485c,BoxType::from should be From impl.
Matthew Gregan,1457488133,65e018f42975aadacae64b87fe420a80de070188,.map_err(From::from) is easier on the eye than Ok(try!(...))
Matthew Gregan,1457056597,80839fc12e95409ae25e8441c2384b6ec380356b,Add a TODO.
Matthew Gregan,1457055145,58de445ea83c9c0f3fa70f1d6dfb4bfa1f28ded9,Minor formatting tweaks.
Matthew Gregan,1457054298,6dea54465d6b9d446a38a7fbd945ddfdf3f7d57b,Use a smaller test file and move it to examples.
Matthew Gregan,1456964468,884f296990a681df81512dee77a49a3438778c7c,Bump rusty-cheddar version and remove libc dep.
Matthew Gregan,1456892765,e316f24a1dd1c9103226171add7d73577c466072,Rename next() to next_box() since it's not a true Iterator.
Matthew Gregan,1456882210,4f8e51d2eff1f7e46eed3d6680c6e6757bd06f1f,Typo/comment only fixes.
Matthew Gregan,1456874695,ff39ce0af6d48f53acaf29bbf61fe9e3b51214dc,Add BMFFBox::box_iter for iterating children of the current box.
Matthew Gregan,1456794970,b664d5736ceb2c5800a2f020305e70eae107b4d4,Simplify lifetimes on BoxIter more.
Matthew Gregan,1456790965,56bb4c98f8d22952d55960f38fb7e7787a88386e,Ignore an unused_result lint in get_track_count_null_parser test.
Matthew Gregan,1456790539,c5b1d624637e8bfd07214ce78ae793912ef3372b,Remove unnecessary casts.
Matthew Gregan,1456725124,ff1882a9f5529aa7e9e2122560c731b7a0fe7feb,Convert BMFFBox from a trait to an impl.
Matthew Gregan,1456724777,94bd31d1ef730795d42b6fa075a12b4fed34bf2a,Simplify skipping unsupported content in read_stsd.
Matthew Gregan,1456718923,822abadce9caaf0dd6ec3e22b9bfa0c6ea703077,Address a couple of rusty-clippy issues in capi.rs.
Matthew Gregan,1456374408,20d81a92487a9aeeacd3c798b521a92a8d8ffebb,Rework the C API to take a callback for I/O.
Matthew Gregan,1456367739,08f90ab567b0bea2abad16042fc25a415b884845,Rename "state" and "context" to "parser" in C API.
Matthew Gregan,1456365049,410eaac42c4ae9ee7f26aa80ab18ecdfb2d7d423,Extern uses C API by default.
Matthew Gregan,1456281709,baaed562cc64ce1f3b370df21cc99a6d8ecb0b74,Make BoxHeader and read_box_header private.
Matthew Gregan,1455684710,1fa902ce6a3808f3d65e7f4e5cd2aa228e8816c3,Fix new tests after rebase.
Matthew Gregan,1455516974,18fe025de48d0a2bb2ae55e603ab9dd162cadf1c,Experiment with enum of box types.
Matthew Gregan,1455506656,1d808f1f620b49452a253f7c7dc63b0b12494cbe,Add some spec-related comments.
Matthew Gregan,1455322430,a7b4b594dc0089aa00eab27ae6a8006d354429ac,Rename Input to BoxIter.
Matthew Gregan,1455322330,67a0f7f57f265274109599d86e88efa338041a15,One possible fix for brand case issues.
Matthew Gregan,1455417523,122c9efef6dd3d4975fad7e037df4986edba5f46,Skip unsupported tracks rather than exiting parse.
Matthew Gregan,1455259138,ea8627c82db9d802d0ee16bc12c6d18c887deebe,Add a failing test for case issues with ftyp brands.
