commit,type,number_of_lines
1,insertion,12
1,deletion,12
2,insertion,12
2,deletion,12
3,insertion,216
3,deletion,216
4,insertion,10
4,deletion,10
5,insertion,194
5,deletion,42
6,insertion,3
6,deletion,3
7,insertion,2
8,insertion,15
8,deletion,5
9,insertion,3
10,insertion,7
10,deletion,5
11,insertion,8
11,deletion,2
12,insertion,7
12,deletion,6
13,insertion,9
13,deletion,14
14,insertion,69
14,deletion,20
16,insertion,111
16,deletion,16
17,insertion,78
17,deletion,17
18,insertion,65
19,insertion,3
19,deletion,4
20,insertion,6
20,deletion,4
21,insertion,111
21,deletion,5
22,insertion,79
23,insertion,62
23,deletion,28
24,insertion,10
24,deletion,7
25,insertion,62
26,insertion,71
26,deletion,4
27,insertion,28
27,deletion,13
28,insertion,3
28,deletion,3
29,insertion,5
29,deletion,3
30,insertion,71
30,deletion,13
31,insertion,51
34,insertion,10
34,deletion,6
35,insertion,9
35,deletion,6
36,insertion,71
36,deletion,50
37,insertion,2
37,deletion,2
38,insertion,89
40,insertion,3
41,insertion,15
41,deletion,13
42,insertion,14
42,deletion,14
43,insertion,30
43,deletion,30
44,insertion,12
44,deletion,22
45,insertion,15
45,deletion,21
46,insertion,12
47,insertion,24
47,deletion,12
48,insertion,17
48,deletion,21
51,insertion,35
51,deletion,15
52,insertion,34
52,deletion,20
53,insertion,60
53,deletion,16
54,insertion,13
54,deletion,3
55,insertion,59
55,deletion,3
56,insertion,6
56,deletion,17
57,deletion,2
58,insertion,7
58,deletion,3
59,insertion,8
59,deletion,8
60,insertion,86
61,deletion,8
62,deletion,18
63,insertion,2
65,insertion,17
65,deletion,23
67,insertion,10
67,deletion,3
68,insertion,53
68,deletion,10
69,insertion,2
69,deletion,2
70,insertion,3
70,deletion,3
71,insertion,2
72,insertion,3
72,deletion,2
73,insertion,21
73,deletion,21
74,insertion,16
74,deletion,27
75,insertion,35
75,deletion,35
76,insertion,4
76,deletion,3
77,insertion,13
77,deletion,9
78,insertion,2
78,deletion,2
80,insertion,2
80,deletion,2
81,insertion,31
81,deletion,36
82,insertion,13
82,deletion,20
83,insertion,2
83,deletion,3
84,insertion,459
84,deletion,87
85,insertion,61
85,deletion,61
86,insertion,7
86,deletion,7
87,insertion,10
87,deletion,10
88,insertion,21
88,deletion,33
89,insertion,155
89,deletion,131
90,insertion,19
90,deletion,3
91,insertion,60
91,deletion,60
92,insertion,9
92,deletion,4
93,insertion,18
93,deletion,2
94,insertion,27
95,insertion,27
95,deletion,3
96,insertion,38
96,deletion,30
97,insertion,133
97,deletion,116
98,insertion,2
98,deletion,2
99,insertion,14
99,deletion,24
100,insertion,62
100,deletion,35
101,insertion,66
101,deletion,99
102,insertion,66
102,deletion,88
103,insertion,14
103,deletion,3
104,insertion,5
104,deletion,5
105,insertion,31
105,deletion,32
106,insertion,38
106,deletion,38
107,insertion,4
108,insertion,5
108,deletion,10
109,insertion,8
109,deletion,12
110,insertion,26
110,deletion,9
111,deletion,6
112,insertion,8
112,deletion,4
113,insertion,6
113,deletion,7
114,insertion,4
115,insertion,7
116,insertion,14
116,deletion,9
117,insertion,13
117,deletion,3
118,insertion,52
118,deletion,87
120,insertion,68
120,deletion,64
121,insertion,14
121,deletion,14
122,insertion,59
122,deletion,53
123,insertion,36
123,deletion,8
125,insertion,4
125,deletion,3
126,deletion,3
128,insertion,13
128,deletion,8
129,insertion,15
129,deletion,16
130,insertion,4
131,insertion,87
131,deletion,11
133,insertion,41
134,insertion,37
135,insertion,50
135,deletion,4
136,insertion,18
137,insertion,73
137,deletion,3
138,insertion,6
